doctor_id,doctor_name,doctor_last_name,date_of_birth,gender,email,phone_number,license_number,specialty,sub_specialty,department_id,wing_id,shift_type,employment_status_active,vacation_status,salary
1,Cody,Hamilton,1979-06-12,Male,icasey@example.com,611-521-9437,MD-56198129,Cardiology,,1,3,Day,True,False,117738
2,Allen,Cooke,1971-02-06,Male,lbeck@example.com,4433624341,MD-65823911,Cardiology,,1,3,Day,True,False,88095
3,Billy,Gentry,1979-05-12,Male,jenniferconner@example.com,778.471.7669,MD-31166755,Cardiology,,1,3,Day,True,False,140469
4,Jonathon,Vasquez,1979-05-31,Male,brandonstokes@example.net,754.770.0652x0598,MD-16736949,Cardiology,,1,3,Night,True,False,109300
5,Andrew,Williams,1977-06-14,Male,nguyennicholas@example.net,001-456-284-3346x7774,MD-23683654,Cardiology,Interventional Cardiology,1,3,Night,True,False,105326
6,Robert,Morris,1992-09-12,Male,jennifer99@example.org,431.754.5838x4719,MD-14606783,Cardiology,Interventional Cardiology,1,3,Rotating,True,False,134160
7,Kayla,Solomon,1988-09-27,Female,charles02@example.com,(957)894-5308x7111,MD-26091655,Cardiology,,1,3,Night,True,False,129698
8,Melissa,Mueller,1968-10-26,Female,robertscott@example.net,741-931-8349x37874,MD-21759588,Cardiology,Interventional Cardiology,1,3,Night,True,False,82433
9,Jeremiah,Stone,1998-04-08,Male,jasonjohnson@example.net,261.794.5615,MD-31586965,Cardiology,,1,3,Day,True,False,94908
10,Anthony,Garcia,1964-12-17,Male,jennifer55@example.net,+1-402-968-2766,MD-50297809,Dermatology,,2,3,Day,True,False,135084
11,William,Allen,1982-04-12,Male,ryan19@example.org,967.201.1586x0020,MD-93535433,Dermatology,,2,3,Night,True,False,133186
12,Walter,Scott,1972-09-10,Male,townsendandrew@example.com,270.825.5878x63175,MD-96424791,Dermatology,,2,3,Night,True,False,146973
13,Joshua,Guerrero,1958-03-29,Male,amanda75@example.com,(777)276-8901x11999,MD-38733834,Dermatology,,2,3,Rotating,True,False,115625
14,Alex,Perry,1997-11-03,Male,ejohnson@example.com,+1-297-914-7044,MD-48222253,Dermatology,,2,3,Day,True,False,139936
15,Richard,Taylor,1996-01-06,Male,kristy17@example.com,209.945.3023x98045,MD-79899812,Endocrinology,,3,2,Night,False,False,117660
16,Russell,Vargas,1977-11-28,Male,igordon@example.com,+1-647-844-5948x076,MD-44073581,Endocrinology,,3,2,Day,True,False,86812
17,Marissa,Stokes,1968-10-01,Female,cookelonnie@example.org,001-238-676-1282x27323,MD-97505484,Endocrinology,,3,2,Night,True,False,90068
18,Christina,Rodriguez,1990-03-01,Female,carsonbrianna@example.net,637-813-1257x83254,MD-15608474,Endocrinology,,3,2,Rotating,True,False,129640
19,Brianna,Allen,1975-03-07,Female,alejandra86@example.org,(813)562-7988,MD-67690848,Endocrinology,,3,2,Rotating,True,False,124503
20,Sean,Martinez,1957-12-13,Male,samuelhamilton@example.com,548-866-2697,MD-36935849,Endocrinology,,3,2,Day,True,False,141998
21,Christina,Burch,1961-11-02,Female,watsonjessica@example.com,985.238.6508x3087,MD-50615967,Urology,,4,2,Rotating,True,False,118797
22,Anthony,Lane,1978-04-05,Male,loribarrett@example.com,736.237.0836x19209,MD-55452946,Urology,,4,2,Day,True,False,112837
23,Natalie,Allen,1980-03-11,Female,dpalmer@example.org,(351)843-7244x169,MD-15232428,Urology,,4,2,Day,True,False,84612
24,Melissa,Burton,1982-08-06,Female,christophergarcia@example.org,282.291.4007x494,MD-79406517,Urology,,4,2,Night,False,False,116513
25,Cindy,Wilson,1962-10-09,Female,denisehenson@example.com,+1-730-203-6700x26822,MD-61764174,Urology,,4,2,Rotating,True,False,142876
26,John,Mcpherson,1967-10-17,Male,jeffreygonzales@example.com,+1-673-463-8699x8525,MD-57406114,Urology,,4,2,Night,False,False,103042
27,Renee,Malone,1982-09-17,Female,karikerr@example.net,860.651.4888x8948,MD-96553959,Urology,,5,5,Day,True,False,109351
28,Ronald,Chandler,1971-07-18,Male,jesus96@example.com,2384596612,MD-55110902,Urology,,5,5,Night,True,False,135135
29,Jessica,Gonzalez,1964-05-25,Female,mccarthycorey@example.com,717-841-8994x429,MD-76578784,Urology,,5,5,Day,True,False,113932
30,Troy,Christensen,1959-10-31,Male,bradley47@example.net,2147955493,MD-55472611,Urology,,5,5,Night,True,False,126998
31,Angela,Fry,1969-11-12,Female,bethjohnson@example.com,470.709.7831x6563,MD-62736735,Urology,,5,5,Rotating,True,False,117250
32,Janice,Snow,1987-05-05,Female,laura00@example.org,973-720-0734x9329,MD-86980178,Urology,,5,5,Rotating,True,False,144071
33,Raymond,Watson,1958-02-08,Male,danielrussell@example.com,351-853-1236x36712,MD-47842292,Hematology,Hematology-Oncology,6,2,Rotating,True,False,97634
34,Stephen,Mcclure,1961-08-16,Male,rterrell@example.org,(810)813-9920x7358,MD-62805641,Hematology,,6,2,Night,True,False,91313
35,James,Phelps,1977-12-05,Male,gkelly@example.net,412-740-7662,MD-36380583,Hematology,,6,2,Day,True,False,87997
36,Courtney,Brown,1955-05-27,Female,wendy06@example.org,(513)796-9725x70722,MD-97822906,Hematology,Hematology-Oncology,6,2,Night,True,False,132632
37,Robert,Allen,1974-09-30,Male,jenniferrivas@example.net,+1-981-278-2067x2435,MD-82774226,Hematology,Hematology-Oncology,6,2,Day,True,False,101609
38,Katherine,Carrillo,1996-08-05,Female,teresa29@example.com,394-765-4808x764,MD-45450593,Immunology,,7,2,Night,False,False,117073
39,Sally,Young,1967-05-27,Female,richardsonsean@example.org,001-451-638-1272x62440,MD-78118486,Immunology,,7,2,Rotating,True,False,133263
40,Michelle,Blevins,1994-04-01,Female,campbelltammy@example.com,915.649.3333,MD-14993922,Immunology,,7,2,Day,True,False,96347
41,Alex,Phelps,1994-09-21,Male,bowenkelli@example.com,584-719-2209,MD-22174269,Immunology,,7,2,Night,True,False,101831
42,Robin,Barber,1979-04-02,Female,cjordan@example.com,603-995-4221,MD-96825166,Immunology,,7,2,Day,True,False,147859
43,Ricky,Stewart,1984-06-08,Male,russell25@example.org,968-839-6487x929,MD-36614551,Immunology,,7,2,Rotating,True,False,129079
44,Joshua,Romero,1970-12-19,Male,allenmatthew@example.net,(858)475-0412x939,MD-70805004,Psychiatry,,8,7,Night,True,False,96910
45,Frank,Lambert,1958-02-20,Male,berrymason@example.com,739.419.9470x0201,MD-36174455,Psychiatry,,8,7,Rotating,False,False,123900
46,Sara,Oconnor,1965-12-23,Female,zwilliams@example.net,619.849.0881,MD-16656995,Psychiatry,,8,7,Rotating,True,False,135655
47,Christopher,Moore,1975-04-10,Male,johnsonrichard@example.com,979.541.3778x095,MD-31324275,Psychiatry,,8,7,Day,True,False,121757
48,Susan,Mitchell,1996-07-15,Female,ggonzalez@example.com,6386975026,MD-24107729,Psychiatry,,8,7,Night,True,False,88117
49,John,Murphy,1984-07-01,Male,jamesmcknight@example.org,001-432-469-7602,MD-65298372,Psychiatry,,8,7,Day,True,False,137643
50,Nicole,Crawford,1982-09-01,Female,johnny05@example.net,(850)576-5656x028,MD-51247423,Medical Genetics,,9,2,Day,True,False,116608
51,Jeremy,Gray,1965-06-11,Male,johnny69@example.com,884.848.3798,MD-48719173,Medical Genetics,,9,2,Day,True,False,137265
52,Kevin,Summers,1981-01-17,Male,wattsjennifer@example.org,001-671-972-8527x483,MD-78197298,Medical Genetics,,9,2,Rotating,False,False,93117
53,Christina,Daniel,1998-04-14,Female,yorkbryan@example.org,335.711.4842x40363,MD-32894383,Medical Genetics,,9,2,Night,True,False,124843
54,Scott,Mueller,1991-01-23,Male,salasvalerie@example.net,001-391-731-0699,MD-75325924,Medical Genetics,,9,2,Night,True,False,96079
55,Christine,Martinez,1974-08-12,Female,vbrown@example.org,001-591-629-7799x861,MD-79862704,Neuroskeletal,,10,6,Night,True,False,110764
56,Cole,Padilla,1988-10-07,Male,mallen@example.com,001-980-206-9969,MD-80300343,Neuroskeletal,,10,6,Day,True,False,126442
57,Amanda,Howard,1982-03-13,Female,dustin19@example.com,+1-651-763-2678,MD-23450924,Neuroskeletal,,10,6,Day,True,False,104222
58,Michael,Grant,1958-06-28,Male,bryanchristy@example.net,+1-754-953-8182x9894,MD-51445451,Neuroskeletal,,10,6,Night,True,False,124284
59,Jamie,Watts,1994-09-24,Female,michael27@example.net,+1-873-414-5228x32435,MD-53352950,Neuroskeletal,,10,6,Rotating,True,False,118263
60,James,Johnson,1990-09-04,Male,twilliams@example.net,+1-847-660-8062x0484,MD-30488953,Orthopedics,,11,6,Night,True,False,111532
61,Brian,Carter,1975-07-10,Male,johncisneros@example.com,497.395.0749x2504,MD-51662927,Orthopedics,,11,6,Day,True,False,83770
62,Peter,Henry,1978-12-30,Male,zmerritt@example.org,(958)400-3806x14646,MD-61632876,Orthopedics,,11,6,Rotating,True,False,125586
