nurse_id,nurse_name,nurse_last_name,date_of_birth,gender,email,phone_number,nurse_type,specialty,department_id,wing_id,shift_type,employment_status_active,vacation_status,salary
1,Nicholas,Martin,1991-07-11,Male,vwilliams@example.net,(301)263-6039x700,RN,Emergency Room,18,1,Day,True,True,59438
2,Juan,Evans,1960-05-24,Male,davidriley@example.net,785.233.3484x5767,RN,Emergency Room,18,1,Night,True,False,59571
3,Paul,Guerra,1989-10-19,Male,theresapittman@example.net,571.763.1778x2085,LPN,Emergency Room,18,1,Night,True,False,74979
4,Theresa,Ortega,1998-07-14,Female,opatterson@example.net,724.248.6184,RN,Emergency Room,18,1,Day,True,False,66459
5,Kelly,Kim,1988-05-17,Male,tammygonzalez@example.org,001-569-547-5436x6905,RN,Emergency Room,18,1,Day,True,False,67962
6,Curtis,Shaw,1972-05-10,Male,christopherjones@example.com,001-846-446-7180x029,RN,Emergency Room,18,1,Night,True,False,65680
7,Brian,Fernandez,2001-08-17,Male,timothymonroe@example.com,001-313-365-0201x51942,LPN,Emergency Room,18,1,Day,True,False,58816
8,Robert,Craig,2002-07-31,Male,moorestacey@example.net,+1-651-715-0128x594,RN,Emergency Room,18,1,Night,True,False,71569
9,Regina,Baldwin,1990-04-07,Female,kmoore@example.com,+1-828-362-3813x806,LPN,Emergency Room,18,1,Night,True,False,69848
10,Christine,Lucas,1979-04-05,Female,john14@example.net,415.218.2173x81175,RN,Emergency Room,18,1,Day,True,False,72379
11,Julia,Miller,2003-05-23,Female,amanda78@example.com,544-230-0742,RN,Emergency Room,18,1,Day,True,False,74993
12,Charles,Cruz,1970-06-04,Male,amberburke@example.net,827-530-3442x3582,RN,Emergency Room,18,1,Day,True,False,61942
13,Andrea,Mitchell,1978-03-08,Female,xjimenez@example.net,(361)570-5559x436,RN,Emergency Room,18,1,Rotating,True,False,70376
14,Andrew,Welch,1964-02-04,Male,bryantstanley@example.org,742.999.9754x140,CNA,Emergency Room,18,1,Night,True,False,60758
15,Jacob,Dillon,1974-12-22,Male,douglasalicia@example.org,001-355-554-2269x0778,RN,Emergency Room,18,1,Night,True,False,66177
16,Grant,Bailey,1993-11-10,Male,rblair@example.org,001-893-668-4476,RN,Emergency Room,18,1,Night,True,False,61714
17,Kyle,Wilson,1975-03-31,Male,patrick91@example.net,(967)833-9371x72859,CNA,Emergency Room,18,1,Day,True,False,66323
18,Joshua,Hubbard,1964-09-19,Male,bjames@example.com,(955)574-6898x888,RN,Emergency Room,18,1,Day,True,False,66149
19,Ryan,Chapman,2000-12-01,Male,groberts@example.net,483.876.1753,LPN,Emergency Room,18,1,Rotating,True,False,66852
20,Matthew,Mitchell,1968-08-19,Male,brianavila@example.net,+1-702-950-2270x5093,LPN,Emergency Room,18,1,Night,True,False,57396
21,Laura,Kelly,1975-04-17,Female,timothy68@example.com,881-580-0568x28117,RN,Emergency Room,18,1,Day,True,False,57771
22,Christopher,George,1987-01-09,Male,anthonyhawkins@example.com,8019517016,RN,Emergency Room,18,1,Night,True,False,58788
23,Elizabeth,Webb,1982-05-31,Female,ann28@example.net,792-926-2517x2814,RN,Emergency Room,18,1,Day,True,True,60085
24,Melvin,Webb,1963-09-05,Male,foxgeorge@example.net,(583)591-8691,RN,Emergency Room,18,1,Day,True,False,63529
25,Michael,Patrick,1970-01-28,Male,vazquezcatherine@example.org,9577199748,LPN,Emergency Room,18,1,Night,True,False,62371
26,Nicholas,Bennett,1975-01-28,Male,williamsemily@example.net,001-992-385-7428,RN,Emergency Room,18,1,Night,True,False,70548
27,Antonio,Mitchell,1964-10-21,Male,hillkatherine@example.org,001-267-863-8451x2148,RN,Emergency Room,18,1,Day,True,False,68594
